[2025-03-26T13:48:32.901+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-26T13:48:33.116+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T05:25:00+00:00 [queued]>
[2025-03-26T13:48:33.188+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T05:25:00+00:00 [queued]>
[2025-03-26T13:48:33.190+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 6
[2025-03-26T13:48:34.015+0000] {taskinstance.py:2890} INFO - Executing <Task(DockerOperator): php_app2> on 2025-03-25 05:25:00+00:00
[2025-03-26T13:48:34.053+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=1022) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-03-26T13:48:34.058+0000] {standard_task_runner.py:72} INFO - Started process 1040 to run task
[2025-03-26T13:48:34.155+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'containers1_dag', 'php_app2', 'scheduled__2025-03-25T05:25:00+00:00', '--job-id', '152', '--raw', '--subdir', 'DAGS_FOLDER/containers1_dag.py', '--cfg-path', '/tmp/tmpd1pe0aeq']
[2025-03-26T13:48:34.157+0000] {standard_task_runner.py:105} INFO - Job 152: Subtask php_app2
[2025-03-26T13:48:34.976+0000] {task_command.py:467} INFO - Running <TaskInstance: containers1_dag.php_app2 scheduled__2025-03-25T05:25:00+00:00 [running]> on host 3d581a580455
[2025-03-26T13:48:35.780+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='andre' AIRFLOW_CTX_DAG_ID='containers1_dag' AIRFLOW_CTX_TASK_ID='php_app2' AIRFLOW_CTX_EXECUTION_DATE='2025-03-25T05:25:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-25T05:25:00+00:00'
[2025-03-26T13:48:35.792+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-26T13:48:36.134+0000] {docker.py:345} INFO - Starting docker container from image php-app2
[2025-03-26T13:48:36.142+0000] {docker.py:353} WARNING - Using remote engine or docker-in-docker and mounting temporary volume from host is not supported. Falling back to `mount_tmp_dir=False` mode. You can set `mount_tmp_dir` parameter to False to disable mounting and remove the warning
[2025-03-26T13:48:48.790+0000] {docker.py:69} INFO - array(158) {
[2025-03-26T13:48:48.790+0000] {docker.py:69} INFO -   [0]=>
[2025-03-26T13:48:48.791+0000] {docker.py:69} INFO -   object(stdClass)#2 (3) {
[2025-03-26T13:48:48.791+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:48:48.792+0000] {docker.py:69} INFO -     int(0)
[2025-03-26T13:48:48.793+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:48:48.794+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:48:48.794+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:48:48.794+0000] {docker.py:69} INFO -     int(1742852307)
[2025-03-26T13:48:48.795+0000] {docker.py:69} INFO -   }
[2025-03-26T13:48:48.796+0000] {docker.py:69} INFO -   [1]=>
[2025-03-26T13:48:48.796+0000] {docker.py:69} INFO -   object(stdClass)#3 (3) {
[2025-03-26T13:48:48.801+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:48:48.802+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:48:48.802+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:48:48.803+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:48:48.803+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:48:48.803+0000] {docker.py:69} INFO -     int(1742852309)
[2025-03-26T13:48:48.804+0000] {docker.py:69} INFO -   }
[2025-03-26T13:48:48.804+0000] {docker.py:69} INFO -   [2]=>
[2025-03-26T13:48:48.804+0000] {docker.py:69} INFO -   object(stdClass)#4 (3) {
[2025-03-26T13:48:48.805+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:48:48.805+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:48:48.805+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:48:48.806+0000] {docker.py:69} INFO -     string(8) "php-app1"
[2025-03-26T13:48:48.806+0000] {docker.py:69} INFO -     ["timestamp"]=>
[2025-03-26T13:48:48.807+0000] {docker.py:69} INFO -     int(1742852311)
[2025-03-26T13:48:48.807+0000] {docker.py:69} INFO -   }
[2025-03-26T13:48:48.808+0000] {docker.py:69} INFO -   [3]=>
[2025-03-26T13:48:48.808+0000] {docker.py:69} INFO -   object(stdClass)#5 (3) {
[2025-03-26T13:48:48.808+0000] {docker.py:69} INFO -     ["contador"]=>
[2025-03-26T13:48:48.809+0000] {docker.py:69} INFO -     int(1)
[2025-03-26T13:48:48.809+0000] {docker.py:69} INFO -     ["container"]=>
[2025-03-26T13:48:48.810+0000] {docker.py:69} INFO -     string(8) "php-app2"
[2025-03-26T13:48:48.810+0000] {docker.py:69} INFO -     ["timestamp"]=>
